date_de_classement;date_de_publication_de_l_etablissement;dept;classement;nom_commercial;adresse;code_postal;commune;telephone;courriel;site_internet;capacite_d_accueil_personnes;nombre_de_chambres;lat;lng;wgs84
2013-01-23;2013-01-23;78;3 étoiles;ECLIPSE;AVENUE DE L'EUROPE;78200;MAGNANVILLE;01 30 98 41 41;hotel.eclipse@wanadoo.fr;hotel-eclipse.com;200;67;48.9696025;1.6847157;48.9696025, 1.6847157
2011-06-30;2011-07-13;78;4 étoiles;MERCURE RELAYS DU CHATEAU;1 PLACE DE LA LIBERATION;78120;RAMBOUILLET;01 34 57 30 00;villareal@mercure-rambouillet.com;http://www.mercure-rambouillet.com;180;83;48.6449451;1.8194238;48.6449451, 1.8194238
2012-11-27;2012-11-27;78;3 étoiles;HÔTEL GOLF DU DOMAINE DU TREMBLAY;2 place de l'église;78490;LE TREMBLAY-SUR-MAULDRE;01 34 94 25 70;accueil@domainedutremblay.com;http://www.domainedutremblay.com;100;50;48.8137464;1.9000388;48.8137464, 1.9000388
2011-11-28;2011-11-28;78;4 étoiles;BEST WESTERN MAUREPAS ST QUENTIN;1, rocade de Camargue;78310;MAUREPAS;01 30 51 57 27;direction@hmsq.fr;http://hmsq.fr;492;89;48.7592993;1.9459643;48.7592993, 1.9459643
2012-11-05;2012-11-13;78;3 étoiles;HÔTEL RESTAURANT CAMPANILE;235 Route d'Orgeval;78670;VILLENNES-SUR-SEINE;01 39 75 25 22;manager.villennessurseine@campanile.fr;http://www.campanile.fr/fr/default.aspx;176;82;48.9333234;1.9920245;48.9333234, 1.9920245
2011-10-11;2011-10-11;78;2 étoiles;BALLADINS TRAPPES;rue gaston monmousseau;78190;TRAPPES;01 30 50 82 42;trappes.direction@balladins.eu;http://www.balladins.com;250;68;48.770997;2.007415;48.770997, 2.007415
2011-12-07;2011-07-15;91;3 étoiles;"CLUB BELAMBRA """"LE NORMONT""""";36 avenue d'Orléans;91410;DOURDAN;01 77 70 92 65;laetitia.lebell@belambra.fr;http://www.belambra.fr;100;50;48.5220524;2.0137638;48.5220524, 2.0137638
2011-05-31;2011-01-06;78;2 étoiles;ETAP HOTEL CHAMBOURCY;11 bis rue du mur du parc;78240;CHAMBOURCY;08 92 68 08 21;H3094-RE@accor.com;http://www.etaphotel.com;171;61;48.9091589;2.0312923;48.9091589, 2.0312923
2011-02-22;2011-02-23;78;3 étoiles;HOLIDAY INN GARDEN COURT PARIS ST QUENTIN EN YVELINES;3 rue jean-pierre Timbaud;78180;MONTIGNY-LE-BRETONNEUX;01 30 14 42 00;thierry.demory@alliance-hospitality.com;http://www.holidayinn-parisstquentin.com;340;81;48.7927719;2.0358778;48.7927719, 2.0358778
2012-12-07;2012-12-07;78;3 étoiles;CAMPANILE SAINT-QUENTIN-EN-YVELINES;2 PLACE GEORGES POMPIDOU;78180;MONTIGNY-LE-BRETONNEUX;01 30 57 49 50;manager.stquentinenyvelines@campanile.fr;http://campanile.fr;200;107;48.7832084;2.0429708;48.7832084, 2.0429708
2012-11-29;2012-11-29;78;1 étoile;PREMIÈRE CLASSE VERSAILLES SAINT-CYR-L'ÉCOLE;rue du pont de dreux;78210;SAINT-CYR-L'ÉCOLE;08 92 70 72 52;stcyr@premiereclasse.fr;http://www.premiereclasse.fr;176;69;48.7961432;2.0584038;48.7961432, 2.0584038
2012-03-02;2012-03-02;78;3 étoiles;KYRIAD VERSAILLES ST CYR L'ECOLE;1 RUE DU PONT DE DREUX;78210;ST CYR L'ECOLE;01 72 67 46 00;saintcyr@kyriad.fr;-;180;90;48.7960588;2.059068;48.7960588, 2.059068
2012-10-02;2012-10-02;78;1 étoile;HOTELF1 ACHERES-POISSY;rue de Seine ZAC Croix d'Acheres parc d'activitées des communes;78260;ACHÈRES;08 91 70 51 53;h2401-re@accor.com;http://hotelf1.com;193;72;48.966625;2.061031;48.966625, 2.061031
2011-09-06;2011-09-06;95;4 étoiles;NOVOTEL CERGY-PONTOISE;3 avenue du Parc;95011;CERGY PONTOISE CEDEX;01 30 30 39 47;H0381@accor.com;http://www.novotel.com/fr/hotel-0381-novotel-cergy-pontoise;1470;191;49.0340336;2.0719232;49.0340336, 2.0719232
2011-04-27;2011-04-28;78;3 étoiles;HÔTEL LA RÉSIDENCE DU BERRY;14, rue d'Anjou;78000;VERSAILLES;01 39 49 07 07;percepied@sfr.fr;http://www.hotel-berry.com;69;38;48.7973321;2.1249133;48.7973321, 2.1249133
2012-05-24;2012-06-28;78;4 étoiles;HÔTEL LE VERSAILLES;7 rue Saint Anne;78000;VERSAILLES;01 39 50 64 65;info@hotel-le-versailles.fr;http://hotel-le-versailles.fr;96;45;48.8055003;2.1252005;48.8055003, 2.1252005
